"阿","ā"
"主导","zhǔ dǎo"
"主动","zhǔ dòng"
"主观","zhǔ guān"
"主管","zhǔ guǎn"
"主教","zhǔ jiào"
"主力","zhǔ lì"
"主权","zhǔ quán"
"主人","zhǔ•rén"
"主人公","zhǔ rén gōng"
"主任","zhǔ rèn"
"主题","zhǔ tí"
"主体","zhǔ tǐ"
"主席","zhǔ xí"
"主要","zhǔ yào"
"主义","zhǔ yì"
"主意","zhǔ yi"
"主语","zhǔ yǔ"
"主张","zhǔ zhāng"
"煮","zhǔ"
"属","zhǔ"
"嘱咐","zhǔ•fù"
"助","zhù"
"助手","zhù shǒu"
"住","zhù"
"住房","zhù fáng"
"住宅","zhù zhái"
"贮藏","zhù cáng"
"贮存","zhù cún"
"注","zhù"
"注射","zhù shè"
"注视","zhù shì"
"注意","zhù yì"
"注重","zhù zhòng"
"驻","zhù"
"柱","zhù"
"祝","zhù"
"祝贺","zhù hè"
"著","zhù"
"著名","zhù míng"
"著作","zhù zuò"
"筑","zhù"
"抓","zhuā"
"抓紧","zhuā jǐn"
"专","zhuān"
"专家","zhuān jiā"
"专利","zhuān lì"
"专门","zhuān mén"
"专题","zhuān tí"
"专业","zhuān yè"
"专用","zhuān yòng"
"专政","zhuān zhèng"
"专制","zhuān zhì"
"砖","zhuān"
"转","zhuǎn"
"转变","zhuǎn biàn"
"转动","zhuàn dòng"
"转化","zhuǎn huà"
"转换","zhuǎn huàn"
"转身","zhuǎn shēn"
"转向","zhuǎn xiàng"
"转移","zhuǎn yí"
"传","zhuàn"
"转","zhuàn"
"转动","zhuàn dòng"
"转向","zhuàn xiàng"
"赚","zuàn"
"庄","zhuāng"
"庄稼","zhuāng jia"
"庄严","zhuāng yán"
"桩","zhuāng"
"装","zhuāng"
"装备","zhuāng bèi"
"装饰","zhuāng shì"
"装置","zhuāng zhì"
"壮","zhuàng"
"壮大","zhuàng dà"
"状","zhuàng"
"状况","zhuàng kuàng"
"状态","zhuàng tài"
"撞","zhuàng"
"幢","zhuàng"
"追","zhuī"
"追究","zhuī jiū"
"追求","zhuī qiú"
"追逐","zhuī zhú"
"准","zhǔn"
"准备","zhǔn bèi"
"准确","zhǔn què"
"准则","zhǔn zé"
"捉","zhuō"
"桌","zhuō"
"桌子","zhuō zi"
"卓越","zhuó yuè"
"啄木鸟","zhuó mù niǎo"
"着","zhuó"
"着手","zhuó shǒu"
"着重","zhuó zhòng"
"琢磨","zhuó mó"
"咨询","zī xún"
"姿势","zī shì"
"姿态","zī tài"
"资","zī"
"资本","zī běn"
"资产","zī chǎn"
"资格","zī•gé"
"资金","zī jīn"
"资料","zī liào"
"资源","zī yuán"
"滋味","zī wèi"
"子","zǐ"
"子弹","zǐ dàn"
"子弟","zǐ dì"
"子宫","zǐ gōng"
"子女","zǐ nǚ"
"子孙","zǐ sūn"
"仔细","zǎi xì"
"姊妹","zǐ mèi"
"紫","zǐ"
"自","zì"
"自称","zì chēng"
"自从","zì cóng"
"自动","zì dòng"
"自动化","zì dòng huà"
"自发","zì fā"
"自豪","zì háo"
"自己","zì jǐ"
"自觉","zì jué"
"自力更生","zì lì gèng shēng"
"自然","zì rán"
"自然界","zì rán jiè"
"自杀","zì shā"
"自身","zì shēn"
"自卫","zì wèi"
"自我","zì wǒ"
"自信","zì xìn"
"自行","zì xíng"
"自行车","zì xíng chē"
"自由","zì yóu"
"自愿","zì yuàn"
"自在","zì zài"
"自在","zì zai"
"自治","zì zhì"
"自治区","zì zhì qū"
"自主","zì zhǔ"
"自转","zì zhuàn"
"字","zì"
"字母","zì mǔ"
"宗","zōng"
"宗教","zōng jiào"
"宗旨","zōng zhǐ"
"综合","zōng hé"
"总","zǒng"
"总额","zǒng é"
"总和","zǒng hé"
"总结","zǒng jié"
"总理","zǒng lǐ"
"总数","zǒng shù"
"总算","zǒng suàn"
"总体","zǒng tǐ"
"总统","zǒng tǒng"
"总之","zǒng zhī"
"纵","zòng"
"纵队","zòng duì"
"走","zǒu"
"走廊","zǒu láng"
"走向","zǒu xiàng"
"奏","zòu"
"租","zū"
"租界","zū jiè"
"足","zú"
"足够","zú gòu"
"足球","zú qiú"
"足以","zú yǐ"
"族","zú"
"阻","zǔ"
"阻碍","zǔ ài"
"阻力","zǔ lì"
"阻止","zǔ zhǐ"
"组","zǔ"
"组合","zǔ hé"
"组织","zǔ zhī"
"祖","zǔ"
"祖父","zǔ fù"
"祖国","zǔ guó"
"祖母","zǔ mǔ"
"祖先","zǔ xiān"
"祖宗","zǔ zong"
"钻","zuàn"
"钻研","zuān yán"
"钻","zuàn"
"嘴","zuǐ"
"嘴巴","zuǐ ba"
"嘴唇","zuǐ chún"
"最","zuì"
"最初","zuì chū"
"最后","zuì hòu"
"最近","zuì jìn"
"最为","zuì wéi"
"最终","zuì zhōng"
"罪","zuì"
"罪恶","zuì è"
"罪犯","zuì fàn"
"罪行","zuì xíng"
"醉","zuì"
"尊","zūn"
"尊敬","zūn jìng"
"尊严","zūn yán"
"尊重","zūn zhòng"
"遵守","zūn shǒu"
"遵循","zūn xún"
"昨天","zuó tiān"
"琢磨","zhuó mo"
"左","zuǒ"
"左边","zuǒ•biān"
"左手","zuǒ shǒu"
"左右","zuǒ yòu"
"作","zuò"
"作法","zuò fǎ"
"作风","zuò fēng"
"作家","zuò jiā"
"作品","zuò pǐn"
"作为","zuò wéi"
"作物","zuò wù"
"作业","zuò yè"
"作用","zuò yòng"
"作战","zuò zhàn"
"作者","zuò zhě"
"坐","zuò"
"坐标","zuò biāo"
"座","zuò"
"座位","zuò wèi"
"做","zuò"
"做法","zuò fǎ"
"做梦","zuò mèng"
